date,username,to,replies,retweets,text,mentions,hashtags,permalink
17-02-2020 16.37,StuartMMeikle,SeanCoughlan_,3,0," Just how much of it is actually permanent? The land use maybe, but is the crop? And what is the footprint of the N-fertilizers used? They may be manufactured elsewhere but the environmental cost is still there. ",,,https://twitter.com/StuartMMeikle/status/1229444696818298881
17-02-2020 16.32,PeterEarle6,HaroldKingston1,0,0, Don't have the land base or capital to invite a son/daughter into a partnership. And anyway would you want to enslave them to what has become a bitter race to the bottom. 2020 costs 1977 milk prices. ,,,https://twitter.com/PeterEarle6/status/1229443518843817984
17-02-2020 16.29,SeanCoughlan_,fuzzbizzed,0,0, I was merely pointing out what I am led to believe from the education I received I'm open to correction if you have any contary scientific evidence ,,,https://twitter.com/SeanCoughlan_/status/1229442807309438977
17-02-2020 16.29,PeterEarle6,HaroldKingston1,0,0, After the mornings milking the days work starts. Either spreading fertiliser or manure. Feeding in the winter bedding. Fencing. Many of us spend 70. 80 and 90 hours per week. This is not efficient it's slavery. If you have less than 100 cows there is only I income. Most of us ,,,https://twitter.com/PeterEarle6/status/1229442638362894339
17-02-2020 16.24,PeterEarle6,HaroldKingston1,1,0, Efficiency is a cover word for full employment. Now define fully employed. Is it 40 hour week five divides of eight hours this will never happen in Dairying. Say a farmer has to milk the cows every day this takes 4 hours 2 morning 2 evening to get them in out washed up finished. ,,,https://twitter.com/PeterEarle6/status/1229441538930937856
17-02-2020 16.21,SeanCoughlan_,darrwynne,1,0," Provided its efficient to do so, mixed farming does add a much greater workload and is only appropriate on certain soil's. Harking back to yester year with rose tinted spectacles shouldn't trump the best scientific research ",,,https://twitter.com/SeanCoughlan_/status/1229440820211744769
17-02-2020 15.49,whittledaway,Friesian_man,1,1," We have absolute - not relative - targets for biodiversity protection, water quality and GHG emissions. It's that simple. Comparing ourselves to others in these regards does not help us achieve the targets. ",,,https://twitter.com/whittledaway/status/1229432584662388737
17-02-2020 15.42,ByHedge,SeanCoughlan_,1,0, Groan. Farmers a big part of the solution! But that doesn’t give ag a free pass. This is silly debate. Farming and climate (& biodiversity) solutions is the only way to go. ,,,https://twitter.com/ByHedge/status/1229430952172146688
17-02-2020 15.42,fuzzbizzed,SeanCoughlan_,1,0, Condescension does not aid your argument. ,,,https://twitter.com/fuzzbizzed/status/1229430862648938496
17-02-2020 15.36,SeanCoughlan_,ByHedge,1,0," Without a reliable method of measuring carbon sequestration no one can answer that honestly, what I do know is that the food I consume today is more important than a sun holiday or a new flat screen TV, it seems farmer bashing is easier than asking society to reduce consumption ",,,https://twitter.com/SeanCoughlan_/status/1229429488624295937
17-02-2020 15.22,darrwynne,darrwynne,1,0, Farming nowadays is very different to the mixed approach my dad grew up with because of market conditions and that mixed approach was much better for food security. I would love to see an EU/government led push to change market conditions to pay all sorts of farmers properly. ,,,https://twitter.com/darrwynne/status/1229425906122448898
17-02-2020 15.22,Friesian_man,whittledaway,1,0," How is it not relevant? If producing increased output with the same inputs, (some being fossil fuels) then we are reducing the carbon footprint of our products. Irish waterway quality 4th highest in Europe with increased focus on this within intensive production farm gates. ",,,https://twitter.com/Friesian_man/status/1229425870709891072
17-02-2020 15.18,darrwynne,SeanCoughlan_,1,0," I agree with you completely there, Sean. I think farm and farmers are the solution. The market conditions are toxic at the moment, bad for family farms, bad for biodiversity etc. good for big businesses. 1/2 ",,,https://twitter.com/darrwynne/status/1229424884784209920
17-02-2020 15.14,SeanCoughlan_,darrwynne,1,0," Excellent, but farmers are not the problem, they are just responsive to the market conditions that they have to operate in ",,,https://twitter.com/SeanCoughlan_/status/1229423851072819200
17-02-2020 15.11,ByHedge,SeanCoughlan_,1,0, Simple question: are climate emissions from ag declining? At a fast enough rate for Ireland to hit its Paris targets? @swimsure , @swimsure,,https://twitter.com/ByHedge/status/1229423013541666817
17-02-2020 15.02,SeanCoughlan_,SadhbhO,0,0, I often wonder if the anti farming lobby and their pseudo approach to science is being funded by corporate interests in the fossil fuel industry to deflect attention from the real elephant in the room? ,,,https://twitter.com/SeanCoughlan_/status/1229420968977879043
17-02-2020 14.59,darrwynne,darrwynne,1,0," I don't think it's 'utopian' to want to live in a country that can produce most of its own food, protect biodiversity and let farmers have a better income for important work. Was just genuinely curious about your opinion. 2/2 ",,,https://twitter.com/darrwynne/status/1229420219623510016
17-02-2020 14.59,whittledaway,SeanCoughlan_,1,1," Again, you're referring to efficiency which isn't relevant. Plus, we need to also bring water quality and biodiversity into the picture - another area where efficiency is not relevant. ",,,https://twitter.com/whittledaway/status/1229420183556673543
17-02-2020 14.57,darrwynne,SeanCoughlan_,1,0, I'm a farmer's son Sean so no need to buy land. I'm sorry you feel they're my utopian ideas. We are in the midst climate and biodiversity crisis and are going to experience major global disruption in my lifetime as a result. 1/2 ,,,https://twitter.com/darrwynne/status/1229419549604433921
17-02-2020 14.57,SeanCoughlan_,whittledaway,3,0, That's why I believe our Irish grass based dairy farming on permanent grassland has the lowest input rate of fossil fuels on a nutrient density basis when compared to other systems. Indeed fossil fuel use in agriculture is minimal compared to transport and energy ,,,https://twitter.com/SeanCoughlan_/status/1229419495283970050
17-02-2020 14.39,whittledaway,HaroldKingston1,1,1, You presumably agree that our emissions targets are not based on our efficiency but on absolute reductions in GHGs? ,,,https://twitter.com/whittledaway/status/1229415072344215556
17-02-2020 14.37,whittledaway,Friesian_man,1,0, Not sure what you're arguing here. A lot of fossil fuels go into agriculture ,,,https://twitter.com/whittledaway/status/1229414557833220096
17-02-2020 14.37,dublaoigh,EnergyInIreland,0,0, During the summer months up to 25% equivalent of internal generated output was imported from the U.K.During the current storms we are dumping as much wind generation as much as we can onto the U.K. market. Wind generation is a joke. ,,,https://twitter.com/dublaoigh/status/1229414471375953920
17-02-2020 14.34,SadhbhO,Friesian_man,1,0, That is the most mangled version of the carbon cycle (for another Planet) I have ever heard! Congratulations!! ,,,https://twitter.com/SadhbhO/status/1229413692082704385
17-02-2020 14.30,Friesian_man,whittledaway,2,0," It's being over complicated.Junior cert students learn carbon cannot be produced, cows are not producing carbon and they don't burn fuel so where is it coming from? Grass, and where does grass get its carbon from? The atmosphere.Reducing cows=reducing grass=less carbon absorbed. ",,,https://twitter.com/Friesian_man/status/1229412721285791744
17-02-2020 14.20,SadhbhO,SeanCoughlan_,0,0, The picture around soil carbon vs other forms of sequestration is much more complex than that. It's maths and biology - it's the rate of sequestration over time using various practices compared with the risks/likelihood of dangerous climate change we need to get to grips with. ,,,https://twitter.com/SadhbhO/status/1229410272340828162
17-02-2020 14.14,DavidPJenkins79,IrishTimes,1,0, Hear him! Hear him! I wholeheartedly agree. Opposite simpliciter it should be for @FineGael @RichardbrutonTD @LeoVaradkar @simoncoveney @Paschald , @FineGael  @RichardbrutonTD  @LeoVaradkar  @simoncoveney  @Paschald,,https://twitter.com/DavidPJenkins79/status/1229408811229831171
17-02-2020 14.09,SeanCoughlan_,SeanCoughlan_,1,0, 2/2 grass just so happens to be one of the best plants to suck carbon dioxide from the atmosphere which is then fed to animals whose residues are taken down into the soil where the carbon is stored until permanent grassland is disturbed ,,,https://twitter.com/SeanCoughlan_/status/1229407412970541057
17-02-2020 14.07,0xB0D,DarranMarshall,0,0, Would Richard rather see David Cullinane as MOJ I wonder ? ,,,https://twitter.com/0xB0D/status/1229407076025294857
17-02-2020 14.05,GameOnClimate,harrymcgee,0,0," ""Responding to climate disruption is a profound challenge where we must aspire to be a leader, not a follower. The decisions we make now in meeting these challenges will be crucial for the choices available for the next generation"" - @RichardbrutonTD #BeALeaderRichard #GameOn ", @RichardbrutonTD,#BeALeaderRichard #GameOn,https://twitter.com/GameOnClimate/status/1229406589423169536
17-02-2020 14.03,SeanCoughlan_,whittledaway,2,0," I'm not sure what education you received but the first day in science class I learned about photosynthesis where the suns energy causes a reaction within plants that takes carbon dioxide from the atmosphere and uses it to build cellulose, producing oxygen as a byproduct 1/2 ",,,https://twitter.com/SeanCoughlan_/status/1229406022571380739
17-02-2020 14.02,HaroldKingston1,whittledaway,4,0," Efficiency is part of the Climate Action Plan, coming from the MACC curve ",,,https://twitter.com/HaroldKingston1/status/1229405664843358209
17-02-2020 13.55,whittledaway,SeanCoughlan_,1,0, The targets are not based on 'efficiency'. How can you argue that input-heavy agriculture sequesters carbon? Where? ,,,https://twitter.com/whittledaway/status/1229403899167170560
17-02-2020 13.52,whittledaway,HaroldKingston1,1,0, This presumably would reduce absolute emissions. Point here is about the relevance of the efficiency argument. ,,,https://twitter.com/whittledaway/status/1229403192829628417
17-02-2020 13.52,SeanCoughlan_,whittledaway,1,0," These targets are 100%based on emissions, agriculture is the only industry that also sequesters carbon through the process of photosynthesis which is not taken into account in calculating these targets. Would you agree? ",,,https://twitter.com/SeanCoughlan_/status/1229403127230668801
17-02-2020 13.47,HaroldKingston1,whittledaway,1,0, EU2030 agri targets can be met by gov properly funding the Climate Action Plan ,,,https://twitter.com/HaroldKingston1/status/1229402081624252417
17-02-2020 13.46,SeanCoughlan_,darrwynne,1,0, You'll have to ask someone who has a better knowledge of the intricacies of the beef industry that one. Maybe you should try buying some land on which to implement your utopian ideas. ,,,https://twitter.com/SeanCoughlan_/status/1229401752228827136
17-02-2020 13.35,whittledaway,Damo810,1,0, Not nimbyism - we have emissions reductions targets. How are these to be met without addressing ag? ,,,https://twitter.com/whittledaway/status/1229398903470088199
